,date,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms,bio_baseline_completeness,bio_baseline_composite,emboss_baseline_score,msk_joint_range_baseline_completeness,msk_joint_range_baseline_composite,msk_load_tolerance_baseline_completeness,msk_load_tolerance_baseline_composite,sleep_baseline_completeness,sleep_baseline_composite,soreness_baseline_completeness,soreness_baseline_composite,subjective_baseline_completeness,subjective_baseline_composite,dynamic__agility__acceleration,dynamic__agility__deceleration,dynamic__jump__land,dynamic__jump__pre-load,dynamic__jump__take off,dynamic__sprint__acceleration,dynamic__sprint__max velocity,dynamic__upper body__pull,dynamic__upper body__push,isometric__agility__acceleration,isometric__agility__deceleration,isometric__agility__rotate,isometric__jump__land,isometric__jump__pre-load,isometric__jump__take off,isometric__sprint__acceleration,isometric__sprint__max velocity,isometric__upper body__grapple,isometric__upper body__pull,isometric__upper body__push
10,2023-08-11,10.0,-2.0,2023/2024,3357.117004,184.5391348,35.66151436,0.0,80.05788381,20.27381162,4.890525702,00:54:28,25.87259,0 days 00:04:44,0 days 00:15:18,0 days 00:18:36,0 days 00:10:34,0 days 00:00:02,0.0,0.0,-0.082777778,0.0,0.0,0.0,0.0,0.0,0.0,0.080645161,-0.163333333,0.096774194,-0.111111111,0.358,0.8695,0.69,0.6175,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2023-08-12,10.0,-1.0,2023/2024,3283.160003,40.81181291,73.93712811,0.0,22.83770078,15.73155381,2.928419372,00:52:14,26.312095,0 days 00:07:37,0 days 00:13:16,0 days 00:10:52,0 days 00:03:14,0 days 00:00:06,0.0,0.0,-0.28625,0.0,0.0,0.0,0.0,0.0,0.0,0.080645161,0.0,0.086021505,-0.34875,0.358,0.8695,0.69,0.6175,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2023-08-13,0.0,0.0,2023/2024,5768.904129,425.4688896,168.6935745,67.65073465,119.1564281,48.25707882,18.5732356,01:16:20,30.64549524,0 days 00:03:06,0 days 00:11:02,0 days 00:20:26,0 days 00:14:14,0 days 00:00:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.8695,0.69,0.6175,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2023-08-14,1.0,-6.0,2023/2024,6103.124659,313.4223527,143.3691307,25.97874468,202.5140334,68.68851202,21.55684959,01:43:44,28.40566667,0 days 00:08:37,0 days 00:29:20,0 days 00:25:36,0 days 00:22:17,0 days 00:00:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.8695,0.69,0.57,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2023-08-15,2.0,-5.0,2023/2024,5061.846914,165.193128,87.98249758,14.50107496,133.2896721,48.68442122,11.39946031,01:25:50,28.01867833,0 days 00:03:15,0 days 00:12:36,0 days 00:14:24,0 days 00:15:28,0 days 00:00:03,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.048387097,-0.575,0.1075268817204301,0.1,0.3395,0.8695,0.69,0.522,0.6905,0.3395,0.67,0.8695,0.3395,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2023-08-16,3.0,-4.0,2023/2024,7213.515547,539.9170056,160.3692612,22.0586081,193.4147766,56.93589492,13.98744742,01:50:00,28.24379333,0 days 00:05:40,0 days 00:25:12,0 days 00:34:02,0 days 00:25:02,0 days 00:00:03,0.0,0.0,-0.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.1290322580645161,-0.0475,0.1075268817204301,-0.1,0.3395,0.8695,0.69,0.522,0.6905,0.3395,0.67,0.8695,0.3395,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2023-08-17,4.0,-3.0,2023/2024,6689.641347,657.8286047,287.3232527,123.9176861,125.5603155,41.69055225,12.52989825,01:43:22,31.2808,0 days 00:11:38,0 days 00:28:22,0 days 00:27:46,0 days 00:09:40,0 days 00:00:05,0.0,0.0,-0.210555556,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.1578947368421052,-0.432777778,0.3395,0.8695,0.69,0.522,0.6905,0.3395,0.67,0.8695,0.3395,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2023-08-18,5.0,-2.0,2023/2024,1628.639371,3.220779654,0.209400645,0.0,68.06863136,22.44603123,6.286935147,01:14:08,21.423,0 days 00:07:55,0 days 00:23:14,0 days 00:23:34,0 days 00:08:45,0 days 00:00:07,0.0,0.0,-0.122222222,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.0,0.096774194,-0.122222222,0.338,0.868,0.69,0.519,0.6975,0.338,0.67,0.868,0.338,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2023-08-19,6.0,-1.0,2023/2024,3823.07785,53.96331392,27.76079594,18.88973219,112.2306257,36.02299158,9.464109167,01:10:28,29.5938,0 days 00:06:45,0 days 00:21:58,0 days 00:20:10,0 days 00:08:13,0 days 00:00:00,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.048387097,-0.05,0.1075268817204301,0.0,0.3495,0.87,0.69,0.516,0.6945,0.3495,0.67,0.87,0.3495,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2023-08-20,0.0,0.0,2023/2024,9064.380122,943.6530472,403.136185,204.023218,227.9898375,90.95655098,33.11903162,01:08:57,31.89840333,0 days 00:02:53,0 days 00:10:11,0 days 00:12:20,0 days 00:21:12,0 days 00:00:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3495,0.87,0.69,0.516,0.6945,0.3495,0.67,0.87,0.3495,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2023-08-21,1.0,-4.0,2023/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.87,0.69,0.533,0.6945,0.412,0.67,0.87,0.412,0.0,1.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2023-08-22,2.0,-3.0,2023/2024,6328.023354,303.1270289,140.8589687,39.88877794,156.3419229,42.12086678,12.88206913,01:23:45,30.427,0 days 00:01:32,0 days 00:10:19,0 days 00:21:58,0 days 00:20:21,0 days 00:00:19,0.0,0.0,-0.037222222,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.19,0.096774194,-0.047777778,0.412,0.87,0.69,0.564,0.69,0.412,0.67,0.87,0.412,0.0,1.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2023-08-23,3.0,-2.0,2023/2024,4480.238801,100.4771596,64.22081006,18.62758419,110.6386699,31.81135152,10.82337463,00:53:39,28.813775,0 days 00:01:56,0 days 00:10:40,0 days 00:19:29,0 days 00:13:40,0 days 00:00:17,0.0,0.0,0.1316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,0.1316666666666666,0.412,0.87,0.69,0.564,0.69,0.412,0.67,0.87,0.412,0.0,1.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2023-08-24,4.0,-1.0,2023/2024,5213.359428,187.3902195,76.05751467,27.12954939,93.22741469,27.15010774,9.704259027,00:58:14,30.22945,0 days 00:03:04,0 days 00:12:49,0 days 00:19:58,0 days 00:11:28,0 days 00:00:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096774194,0.0,0.4,0.87,0.69,0.546,0.69,0.4,0.67,0.87,0.4,0.0,1.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2023-08-25,0.0,0.0,2023/2024,4397.700359,460.9583317,217.6070852,76.46644656,105.3275127,33.99359053,9.716540811,00:35:24,30.51454952,0 days 00:00:41,0 days 00:00:30,0 days 00:07:49,0 days 00:05:02,0 days 00:00:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.87,0.69,0.546,0.69,0.4,0.67,0.87,0.4,0.0,1.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2023-08-26,1.0,-4.0,2023/2024,3332.412945,63.1326095,41.43459088,14.35257756,102.9499428,18.18800817,3.712035254,00:54:32,29.033,0 days 00:04:21,0 days 00:16:49,0 days 00:17:46,0 days 00:14:13,0 days 00:00:05,0.0,0.0,0.035606061,0.21875,0.069285714,0.0,0.0,0.0,0.0,0.0625,-0.39,0.1041666666666666,0.138,0.388,0.877,0.69,0.58,0.69,0.388,0.67,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
26,2023-08-27,2.0,-3.0,2023/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.877,0.69,0.58,0.69,0.388,0.67,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
27,2023-08-28,3.0,-2.0,2023/2024,5996.999852,240.6664185,70.79691808,41.00896158,169.378561,54.1646826,11.00809694,01:33:20,30.3901,0 days 00:05:14,0 days 00:21:32,0 days 00:25:55,0 days 00:12:42,0 days 00:00:07,0.0,0.0,-0.112857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075268817,-0.112857143,0.388,0.877,0.69,0.62,0.69,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
28,2023-08-29,4.0,-1.0,2023/2024,3820.680367,55.04007768,0.0,4.165205387,131.5988413,35.44550986,7.844025776,01:15:52,26.9026,0 days 00:06:54,0 days 00:15:46,0 days 00:18:12,0 days 00:18:58,0 days 00:00:35,0.0,0.0,-0.055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.5800000000000001,0.096774194,-0.087777778,0.388,0.877,0.69,0.62,0.69,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
29,2023-08-30,0.0,0.0,2023/2024,7645.275799,238.6215318,92.1780014,53.52905947,154.2265318,42.86428617,15.01178382,01:29:17,30.88883333,0 days 00:06:03,0 days 00:22:35,0 days 00:22:52,0 days 00:18:53,0 days 00:00:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688,0.0,0.3945,0.877,0.69,0.62,0.69,0.3945,0.5845,0.877,0.3945,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
30,2023-08-31,1.0,-2.0,2023/2024,3690.197045,60.85064265,26.08802737,0.706023513,123.8426725,31.11544568,7.527300404,00:55:11,26.025,0 days 00:03:10,0 days 00:12:03,0 days 00:19:43,0 days 00:13:19,0 days 00:01:44,0.0,0.0,-0.096794872,0.1612903225806451,-0.023,0.0,0.0,0.0,0.0,0.032258065,-0.77,0.1290322580645161,-0.073333333,0.3945,0.877,0.69,0.62,0.6985,0.3945,0.5845,0.877,0.3945,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
31,2023-09-01,2.0,-1.0,2023/2024,4308.521695,193.4691094,38.2760163,14.53914823,122.4703289,41.7852672,8.687373492,00:49:57,29.1212,0 days 00:02:14,0 days 00:10:30,0 days 00:17:56,0 days 00:11:25,0 days 00:00:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075268817,0.0,0.3945,0.877,0.69,0.62,0.6985,0.3945,0.5845,0.877,0.3945,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
32,2023-09-02,0.0,0.0,2023/2024,9577.250596,634.9513319,350.8447469,90.37854941,222.4698891,89.1122095,31.42064742,01:27:16,30.5503,0 days 00:06:34,0 days 00:14:27,0 days 00:07:02,0 days 00:18:06,0 days 00:01:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945,0.877,0.69,0.62,0.6985,0.3945,0.5845,0.877,0.3945,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
33,2023-09-03,1.0,-10.0,2023/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945,0.877,0.69,0.62,0.6985,0.3945,0.5845,0.877,0.3945,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
34,2023-09-04,2.0,-10.0,2023/2024,4422.413388,346.5423049,111.2128805,16.43978707,64.29341036,14.99671848,3.584004122,01:04:39,28.77258238,0 days 00:07:26,0 days 00:22:20,0 days 00:16:03,0 days 00:01:51,0 days 00:00:00,0.0,0.0,-0.501875,0.032258065,0.385,0.032258065,-0.21,0.0,0.0,0.032258065,-0.19,0.021505376,-0.5,0.3635,0.877,0.69,0.51,0.7,0.3635,0.5845,0.877,0.3635,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
35,2023-09-05,3.0,-10.0,2023/2024,3595.202588,150.7385633,84.42777798,23.99069558,45.45248169,12.46709762,4.679633031,01:29:59,29.2298,0 days 00:22:23,0 days 00:29:48,0 days 00:12:58,0 days 00:04:05,0 days 00:00:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.0,0.3635,0.877,0.69,0.51,0.7,0.3635,0.5845,0.877,0.3635,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
36,2023-09-06,4.0,-10.0,2023/2024,3698.55738,126.9356811,42.61556121,17.45454003,62.56903672,10.9397546,3.010077192,01:32:07,29.0985,0 days 00:26:01,0 days 00:35:02,0 days 00:16:15,0 days 00:04:01,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688,0.0,0.3635,0.877,0.69,0.51,0.7,0.3635,0.5845,0.877,0.3635,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
37,2023-09-07,5.0,-10.0,2023/2024,4730.673664,208.8102653,70.41536641,12.17266276,86.27097222,29.55151064,4.96409979,01:38:15,28.22479167,0 days 00:15:54,0 days 00:28:51,0 days 00:15:20,0 days 00:04:06,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
38,2023-09-08,6.0,-9.0,2023/2024,760.2110729,93.27723272,29.81891891,6.818935432,19.35515832,2.35399673,2.63754843,01:17:58,27.813,0 days 00:17:16,0 days 00:21:05,0 days 00:07:39,0 days 00:02:47,0 days 00:00:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
39,2023-09-09,7.0,-8.0,2023/2024,4203.92935,285.9119516,110.5556034,29.01422081,71.57480868,21.64577866,4.849561499,01:39:59,29.02472857,0 days 00:17:32,0 days 00:29:13,0 days 00:16:09,0 days 00:03:06,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
40,2023-09-10,8.0,-7.0,2023/2024,3023.510653,35.54910958,1.791752934,4.719249727,25.84529024,8.43972426,1.166503622,01:11:01,27.9716,0 days 00:14:40,0 days 00:19:13,0 days 00:08:44,0 days 00:01:11,0 days 00:00:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
41,2023-09-11,9.0,-6.0,2023/2024,3772.339383,154.2286494,61.82827534,5.999598072,68.85024609,21.79552354,7.957455431,01:09:21,27.352,0 days 00:08:49,0 days 00:18:59,0 days 00:18:28,0 days 00:05:00,0 days 00:00:01,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376,0.5,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
42,2023-09-12,10.0,-5.0,2023/2024,4912.234885,719.5883818,214.2747707,8.139117887,131.9155993,56.84271445,17.55763438,01:00:13,27.33919762,0 days 00:02:07,0 days 00:08:59,0 days 00:23:29,0 days 00:27:32,0 days 00:01:09,0.0,0.0,0.2,0.064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.3333333333333333,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
43,2023-09-13,10.0,-4.0,2023/2024,6509.953546,451.8794734,170.515801,64.51439385,112.9822472,32.73311031,10.57895655,01:05:44,31.3985,0 days 00:03:48,0 days 00:13:32,0 days 00:26:54,0 days 00:12:42,0 days 00:00:11,0.0,0.0,-0.00875,0.096774194,0.0166666666666666,0.096774194,-0.018333333,0.0,0.0,0.032258065,-0.1,0.043010753,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
44,2023-09-14,10.0,-3.0,2023/2024,1801.907138,177.9745824,11.78159606,5.657334148,40.15530704,10.56379551,3.044932235,00:43:07,27.8429,0 days 00:04:49,0 days 00:10:22,0 days 00:05:35,0 days 00:01:09,0 days 00:00:00,0.0,0.0,0.0,0.064516129,0.0,0.048387097,0.0,0.0,0.0,0.0,0.0,0.053763441,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
45,2023-09-15,10.0,-2.0,2023/2024,4338.275395,103.0122743,2.495093404,6.623810718,91.1032131,25.97932324,5.235099747,00:54:00,28.7521,0 days 00:02:59,0 days 00:12:10,0 days 00:18:35,0 days 00:11:56,0 days 00:00:01,0.0,0.0,-0.081666667,0.064516129,0.0,0.064516129,-0.0125,0.0,0.0,0.096774194,0.0,0.1182795698924731,-0.108181818,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
46,2023-09-16,10.0,-1.0,2023/2024,4531.551158,0.0,14.59834044,4.1478031,91.29227214,26.25784017,6.852574731,01:54:58,27.2559,0 days 00:23:15,0 days 00:35:08,0 days 00:19:19,0 days 00:05:37,0 days 00:00:17,0.0,0.0,0.006428571,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,0.095,0.1505376344086021,0.0278571428571428,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
47,2023-09-17,0.0,0.0,2023/2024,7324.489403,512.5003985,288.7872915,129.6213116,179.4282297,63.61801129,22.71330866,01:10:00,31.9109,0 days 00:01:51,0 days 00:10:18,0 days 00:22:46,0 days 00:17:53,0 days 00:00:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.877,0.69,0.51,0.7085,0.388,0.5845,0.877,0.388,0.52,1.0395,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0
