,date,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms
10,2022-08-12,6,-2,2022/2023,4205.273933,88.71367593,33.48532178,26.5021093,79.64664508,20.82291587,4.826601397,0 days 01:03:58.126689600,31.1003,0 days 00:04:49,0 days 00:17:28,0 days 00:16:26,0 days 00:06:26,0 days 00:00:02
11,2022-08-13,7,-1,2022/2023,2821.360564,66.08966944,0.0,2.315383909,78.2613081,22.64746273,5.648574727,0 days 00:54:45.237481200,26.7007,0 days 00:03:52,0 days 00:15:19,0 days 00:15:53,0 days 00:07:26,0 days 00:00:04
12,2022-08-14,0,0,2022/2023,10190.6242,407.1498307,202.1915331,95.73328361,193.1465208,73.31027854,22.63945216,0 days 01:36:24.252778200,32.322,0 days 00:06:47,0 days 00:19:45,0 days 00:12:49,0 days 00:11:21,0 days 00:00:12
13,2022-08-15,1,-6,2022/2023,3507.646465,0.0,18.95385211,9.431943018,120.7586697,36.30362083,10.02728819,0 days 01:02:58.300083600,28.2309,0 days 00:05:20,0 days 00:12:52,0 days 00:17:30,0 days 00:10:21,0 days 00:00:31
14,2022-08-16,2,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
15,2022-08-17,3,-4,2022/2023,4746.079919,43.05453292,0.0,0.0,98.62359037,22.81968352,5.78648604,0 days 01:06:54.151135800,22.543,0 days 00:06:52,0 days 00:18:45,0 days 00:13:40,0 days 00:06:23,0 days 00:00:04
16,2022-08-18,4,-3,2022/2023,4995.294095,179.0132661,75.69530728,49.11336827,137.6739085,40.03787766,11.27466661,0 days 01:19:06.580342800,30.6657,0 days 00:02:20,0 days 00:10:20,0 days 00:18:43,0 days 00:22:49,0 days 00:00:00
17,2022-08-19,5,-2,2022/2023,3468.36657,38.83175239,8.502787848,2.099493278,75.95655001,18.3251661,3.082021388,0 days 01:21:33.268057200,27.1173,0 days 00:13:15,0 days 00:23:48,0 days 00:17:03,0 days 00:02:53,0 days 00:00:05
18,2022-08-20,6,-1,2022/2023,2436.343984,6.828462805,29.07490675,2.949025548,63.29754513,22.28608377,6.685321314,0 days 00:59:38.515782600,27.0906,0 days 00:07:09,0 days 00:17:40,0 days 00:20:45,0 days 00:06:40,0 days 00:00:06
19,2022-08-21,0,0,2022/2023,5635.717452,342.9453935,147.0083937,60.52226543,149.3339219,54.88763993,20.36545625,0 days 01:04:02.922104400,30.2783581,0 days 00:01:53,0 days 00:06:15,0 days 00:22:15,0 days 00:23:45,0 days 00:00:38
20,2022-08-22,1,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
21,2022-08-23,2,-4,2022/2023,3275.065816,78.4648397,8.894065901,0.0,64.23770174,17.4907045,3.420880917,0 days 01:00:21.389982,25.3047,0 days 00:04:36,0 days 00:19:29,0 days 00:16:01,0 days 00:01:57,0 days 00:00:00
22,2022-08-24,3,-3,2022/2023,5673.246746,119.9512426,38.90034186,18.76901698,97.1870205,26.89396349,7.714358077,0 days 01:04:28.221536400,29.0369,0 days 00:04:47,0 days 00:16:14,0 days 00:21:58,0 days 00:14:11,0 days 00:00:02
23,2022-08-25,4,-2,2022/2023,5716.893586,171.7022802,107.6121287,33.36835798,101.5824729,30.83581335,6.771580602,0 days 01:15:34.998739800,30.1399,0 days 00:04:11,0 days 00:16:37,0 days 00:18:20,0 days 00:12:07,0 days 00:00:05
24,2022-08-26,5,-1,2022/2023,3871.322539,194.1813903,91.74957385,21.40397402,66.43034436,19.55884316,9.011714156,0 days 00:59:57.248982600,28.97405,0 days 00:03:43,0 days 00:16:45,0 days 00:16:39,0 days 00:07:02,0 days 00:00:02
25,2022-08-27,0,0,2022/2023,9243.83888,538.5219348,278.0489025,125.5087852,227.6969267,95.00008081,34.41884819,0 days 01:30:13.098934800,31.7049,0 days 00:06:21,0 days 00:19:59,0 days 00:10:34,0 days 00:20:36,0 days 00:00:25
26,2022-08-28,1,-2,2022/2023,4714.720847,116.232693,75.95010202,10.46576433,108.8349922,38.06803639,11.51783015,0 days 01:04:33.362109,28.11856667,0 days 00:04:39,0 days 00:14:29,0 days 00:16:09,0 days 00:10:27,0 days 00:00:03
27,2022-08-29,2,-1,2022/2023,1419.717131,86.59832953,20.78553429,4.390746102,21.5880745,4.23804069,1.872396471,0 days 00:55:45.048714,27.2766,0 days 00:10:02,0 days 00:16:26,0 days 00:07:28,0 days 00:01:50,0 days 00:00:01
28,2022-08-30,0,0,2022/2023,5380.990631,264.8703619,161.8232331,87.91587561,169.8959494,72.88446342,26.64623008,0 days 00:56:42.625564800,29.81470476,0 days 00:02:17,0 days 00:06:56,0 days 00:18:54,0 days 00:20:43,0 days 00:01:02
29,2022-08-31,1,-3,2022/2023,3171.196542,150.2844427,0.0,12.08542842,49.10755493,5.873294915,0.0,0 days 00:29:43.535202600,27.6732,0 days 00:07:10,0 days 00:04:33,0 days 00:04:22,0 days 00:01:55,0 days 00:00:00
30,2022-09-01,2,-2,2022/2023,3939.213092,88.62988059,38.8643167,28.22681532,74.95951062,28.35947243,7.890767232,0 days 01:08:40.353087,30.66142857,0 days 00:06:31,0 days 00:21:29,0 days 00:18:13,0 days 00:03:54,0 days 00:00:03
31,2022-09-02,3,-1,2022/2023,4283.844231,126.7228301,28.36996669,2.47109923,38.51446163,13.93774679,2.68766043,0 days 01:02:56.921734200,27.0873,0 days 00:05:29,0 days 00:21:21,0 days 00:15:06,0 days 00:03:23,0 days 00:00:00
32,2022-09-03,0,0,2022/2023,3128.296272,494.3630694,246.2546383,72.26966195,86.34745963,36.19347414,14.74687136,0 days 00:31:01.054105800,29.85651333,0 days 00:01:00,0 days 00:00:40,0 days 00:02:37,0 days 00:01:27,0 days 00:00:02
33,2022-09-04,1,-2,2022/2023,3769.789047,262.7822805,62.88869897,18.83100757,101.2766608,35.98319876,10.32962251,0 days 00:43:04.021479,28.7826,0 days 00:02:24,0 days 00:04:01,0 days 00:09:58,0 days 00:06:14,0 days 00:00:01
34,2022-09-05,2,-1,2022/2023,1653.959753,51.19878885,26.0903898,11.16943721,15.83050882,1.615322271,0.0,0 days 00:30:25.124314200,27.9332,0 days 00:04:20,0 days 00:04:25,0 days 00:01:52,0 days 00:00:28,0 days 00:00:04
35,2022-09-06,0,0,2022/2023,3491.169199,195.7521222,90.3214388,46.01970304,86.3652067,32.55716531,12.3500435,0 days 00:23:25.376852400,30.8133,0 days 00:01:20,0 days 00:01:48,0 days 00:03:15,0 days 00:02:26,0 days 00:00:01
36,2022-09-07,1,-7,2022/2023,6489.755554,228.8795459,94.83445158,35.08946563,117.6909894,29.13790831,7.633827506,0 days 01:42:37.484616,30.1673,0 days 00:13:06,0 days 00:33:30,0 days 00:19:31,0 days 00:06:41,0 days 00:00:02
37,2022-09-08,2,-6,2022/2023,3755.942243,205.8010982,50.06622742,11.04311379,79.00991167,18.13888581,3.040679184,0 days 00:52:13.864451400,28.446,0 days 00:02:55,0 days 00:13:54,0 days 00:16:20,0 days 00:07:35,0 days 00:00:01
38,2022-09-09,3,-5,2022/2023,4608.970329,240.0896798,87.65903191,17.68228214,124.2758065,35.96004306,9.612084974,0 days 01:21:22.312376400,28.56055,0 days 00:03:03,0 days 00:19:17,0 days 00:20:51,0 days 00:12:01,0 days 00:00:05
39,2022-09-10,4,-4,2022/2023,5590.174035,102.5909633,58.9054662,41.62207847,129.3280989,43.35589735,14.04262947,0 days 01:18:28.752634800,30.401,0 days 00:02:09,0 days 00:12:46,0 days 00:16:06,0 days 00:16:00,0 days 00:00:01
40,2022-09-11,5,-3,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
41,2022-09-12,6,-2,2022/2023,4764.915757,134.9769759,26.70657358,11.5426603,114.7294671,28.87194949,6.947102635,0 days 01:23:50.736939,28.66,0 days 00:07:09,0 days 00:26:11,0 days 00:16:46,0 days 00:08:00,0 days 00:00:04
42,2022-09-13,7,-1,2022/2023,2556.075053,15.36971542,29.86845511,10.83658197,65.94619588,22.92344979,5.676395991,0 days 00:54:43.373711400,28.3028,0 days 00:04:46,0 days 00:14:37,0 days 00:15:41,0 days 00:03:50,0 days 00:00:05
43,2022-09-14,0,0,2022/2023,6831.807937,583.6389648,192.348596,98.16687756,175.6162065,69.43380474,29.05089329,0 days 01:10:42.096858,31.34165524,0 days 00:01:30,0 days 00:08:00,0 days 00:16:31,0 days 00:18:49,0 days 00:00:48
44,2022-09-15,1,-10,2022/2023,5003.656438,112.4881067,1.819917051,0.834700012,133.0942152,47.452582,15.77217379,0 days 01:09:23.357947800,26.7946,0 days 00:02:29,0 days 00:13:54,0 days 00:20:09,0 days 00:18:50,0 days 00:01:24
45,2022-09-16,2,-10,2022/2023,2675.802324,146.3211085,31.06202099,13.0937155,22.52316673,7.661614544,1.733773537,0 days 01:12:12.402464400,29.1539,0 days 00:17:23,0 days 00:20:49,0 days 00:10:26,0 days 00:02:44,0 days 00:00:00
46,2022-09-17,3,-10,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
47,2022-09-18,4,-10,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
48,2022-09-19,5,-10,2022/2023,5138.242651,391.2378952,156.6084778,28.73134631,96.03054662,24.43786529,8.31021162,0 days 01:55:20.899158,28.74074857,0 days 00:16:53,0 days 00:29:41,0 days 00:17:27,0 days 00:06:00,0 days 00:00:00
49,2022-09-20,6,-10,2022/2023,3573.506891,140.0195148,48.80235138,13.47239382,84.21320761,20.93022165,7.241534267,0 days 01:21:33.379368599,28.5244,0 days 00:11:09,0 days 00:27:46,0 days 00:16:44,0 days 00:03:44,0 days 00:00:01
50,2022-09-21,7,-10,2022/2023,5492.495697,160.3334267,16.62395456,0.0,115.3629551,34.61122129,7.761611941,0 days 01:20:48.391594200,25.8151,0 days 00:05:20,0 days 00:23:28,0 days 00:21:51,0 days 00:09:35,0 days 00:00:01
51,2022-09-22,8,-9,2022/2023,4719.036826,35.09281803,29.92774057,11.00291882,57.31607328,11.23711456,2.697527913,0 days 01:06:35.053829400,28.4489,0 days 00:06:48,0 days 00:19:46,0 days 00:17:08,0 days 00:04:57,0 days 00:00:03
52,2022-09-23,9,-8,2022/2023,4204.835622,132.0208482,47.82109959,0.0,48.24258282,11.72739038,3.105659067,0 days 01:00:52.190929200,26.553795,0 days 00:03:30,0 days 00:20:58,0 days 00:15:18,0 days 00:02:48,0 days 00:00:00
53,2022-09-24,10,-7,2022/2023,4897.708424,371.3553646,211.0691626,78.54591039,85.05512017,20.60878503,4.545545275,0 days 01:09:12.199132800,30.59651667,0 days 00:07:15,0 days 00:16:49,0 days 00:17:58,0 days 00:08:09,0 days 00:00:00
54,2022-09-25,10,-6,2022/2023,7994.176379,298.8809008,79.71962449,18.28373691,155.8323283,44.62580389,13.07178575,0 days 01:39:30.612732,28.8263,0 days 00:08:54,0 days 00:25:56,0 days 00:25:32,0 days 00:12:42,0 days 00:00:03
55,2022-09-26,10,-5,2022/2023,6481.453235,133.6808313,71.11997141,18.31078419,96.95180029,24.51706169,5.607561713,0 days 01:00:33.858859200,28.76939167,0 days 00:04:01,0 days 00:15:35,0 days 00:25:42,0 days 00:17:04,0 days 00:00:03
56,2022-09-27,10,-4,2022/2023,8433.076205,365.0307741,176.6016398,75.81824172,160.053587,55.49264415,18.60933484,0 days 01:56:33.256284,32.2044,0 days 00:10:01,0 days 00:25:28,0 days 00:25:50,0 days 00:19:47,0 days 00:00:07
57,2022-09-28,10,-3,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
58,2022-09-29,10,-2,2022/2023,1195.107351,25.66183451,21.73289179,22.70475016,48.92202709,24.01274766,5.39032011,0 days 00:59:00.873559800,30.47083333,0 days 00:06:45,0 days 00:13:44,0 days 00:15:06,0 days 00:06:24,0 days 00:00:07
59,2022-09-30,10,-1,2022/2023,2246.872857,19.15910312,0.994728653,6.529368146,21.88651031,9.204239632,1.623983428,0 days 00:45:27.147654,28.7998,0 days 00:06:43,0 days 00:13:13,0 days 00:10:39,0 days 00:00:49,0 days 00:00:17
60,2022-10-01,0,0,2022/2023,2412.574632,171.7113665,97.18958535,36.67832717,54.76758112,27.981111,12.79177405,0 days 00:32:12.648631800,30.62161,0 days 00:02:27,0 days 00:01:39,0 days 00:03:32,0 days 00:02:22,0 days 00:00:01
61,2022-10-02,1,-3,2022/2023,6517.875457,252.2509379,125.0451799,51.49824563,164.1808057,49.62793059,13.78128911,0 days 01:20:58.252856400,31.20963333,0 days 00:01:12,0 days 00:07:54,0 days 00:22:23,0 days 00:21:38,0 days 00:00:02
62,2022-10-03,2,-2,2022/2023,5641.407219,58.87394049,63.95130083,20.22045198,161.3979026,46.46323619,13.68267251,0 days 01:29:52.803002400,28.8883,0 days 00:06:13,0 days 00:21:10,0 days 00:18:06,0 days 00:21:36,0 days 00:00:03
63,2022-10-04,3,-1,2022/2023,3282.389955,114.123673,11.07763074,5.828122795,58.48214363,15.72700291,6.419322214,0 days 00:47:17.758843200,27.8874,0 days 00:05:20,0 days 00:15:33,0 days 00:14:40,0 days 00:02:11,0 days 00:00:01
64,2022-10-05,0,0,2022/2023,5682.388525,254.0269865,159.8389907,73.45188602,115.3018061,47.94725372,15.85445427,0 days 00:44:56.571765600,29.6802481,0 days 00:01:10,0 days 00:00:42,0 days 00:09:36,0 days 00:11:38,0 days 00:00:05
65,2022-10-06,1,-2,2022/2023,3014.069068,113.9087926,36.10962995,5.337962276,74.25962311,22.76707337,7.329206632,0 days 01:02:53.806899,27.3825,0 days 00:04:17,0 days 00:17:17,0 days 00:17:29,0 days 00:06:51,0 days 00:00:01
66,2022-10-07,2,-1,2022/2023,2978.612609,30.03539049,0.0,6.837852247,53.8725542,10.95997951,3.672462971,0 days 00:41:58.286603400,28.8215,0 days 00:04:29,0 days 00:09:35,0 days 00:06:27,0 days 00:01:28,0 days 00:00:20
67,2022-10-08,0,0,2022/2023,4286.457344,283.3217157,146.9968096,40.45179652,104.7357236,37.2443396,10.84711633,0 days 00:44:34.635990600,30.79512,0 days 00:01:15,0 days 00:01:37,0 days 00:06:54,0 days 00:06:46,0 days 00:00:17
68,2022-10-09,1,-2,2022/2023,3958.094064,117.6656211,64.91974865,8.418672333,151.507872,41.89179283,11.44491234,0 days 00:48:09.918937800,27.7554,0 days 00:02:16,0 days 00:10:19,0 days 00:17:55,0 days 00:20:30,0 days 00:02:15
69,2022-10-10,2,-1,2022/2023,2580.125049,89.45274405,23.57907059,12.25895899,41.9657442,13.83219598,2.438292256,0 days 01:03:46.414256400,27.5704,0 days 00:06:06,0 days 00:15:32,0 days 00:11:20,0 days 00:02:14,0 days 00:00:00
70,2022-10-11,0,0,2022/2023,6490.633016,187.6301087,31.05300468,3.361455764,138.2858983,52.27608452,20.08786752,0 days 00:53:27.717131400,27.2947,0 days 00:02:52,0 days 00:11:28,0 days 00:18:28,0 days 00:18:32,0 days 00:00:55
71,2022-10-12,1,-4,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
72,2022-10-13,2,-3,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
73,2022-10-14,3,-2,2022/2023,4435.32419,62.16740662,0.0,0.0,97.14975526,22.84920319,7.450766024,0 days 01:16:37.695527400,22.8186,0 days 00:06:38,0 days 00:19:42,0 days 00:14:04,0 days 00:08:06,0 days 00:00:03
74,2022-10-15,4,-1,2022/2023,4432.379185,12.38368999,0.0,5.519188142,71.00717465,19.02275745,1.864376292,0 days 01:12:08.574249600,27.924,0 days 00:10:33,0 days 00:19:28,0 days 00:13:58,0 days 00:02:38,0 days 00:00:00
75,2022-10-16,0,0,2022/2023,11741.87661,688.1678933,300.9300657,91.7950498,236.0224161,87.06603379,30.13562707,0 days 01:38:16.188093,29.9964,0 days 00:09:10,0 days 00:18:16,0 days 00:02:31,0 days 00:08:53,0 days 00:00:04
76,2022-10-17,1,-2,2022/2023,4806.045344,133.3486433,52.58387332,5.992087441,117.8085513,37.39097478,12.12993619,0 days 01:05:43.032353400,27.3605,0 days 00:03:18,0 days 00:14:47,0 days 00:16:07,0 days 00:10:13,0 days 00:00:19
77,2022-10-18,2,-1,2022/2023,3468.125369,91.85291349,14.96052305,0.0,91.69689472,24.56051248,6.431111368,0 days 01:12:10.192945800,26.0151,0 days 00:10:41,0 days 00:26:19,0 days 00:15:54,0 days 00:05:37,0 days 00:00:00
78,2022-10-19,0,0,2022/2023,12652.12978,795.6464433,349.7045185,80.62868412,232.1942874,95.33476329,34.1123315,0 days 01:36:53.102086800,29.46996,0 days 00:09:13,0 days 00:20:15,0 days 00:02:20,0 days 00:16:50,0 days 00:00:40
79,2022-10-20,1,-2,2022/2023,2919.951985,62.52408036,44.7859422,8.503722301,66.80935372,22.52975598,7.53788819,0 days 00:37:27.964897800,27.8497,0 days 00:02:00,0 days 00:03:10,0 days 00:06:27,0 days 00:03:27,0 days 00:00:01
80,2022-10-21,2,-1,2022/2023,3556.09284,85.87857349,7.881885331,3.644279153,73.51149875,15.0317299,2.765391364,0 days 01:23:21.882999600,27.0394,0 days 00:10:27,0 days 00:27:30,0 days 00:18:17,0 days 00:03:23,0 days 00:00:00
81,2022-10-22,0,0,2022/2023,8622.662508,277.2409544,85.23433913,19.34427861,177.1243848,73.03737938,27.5025884,0 days 01:33:44.451604200,28.67684667,0 days 00:08:05,0 days 00:23:22,0 days 00:17:49,0 days 00:09:56,0 days 00:00:02
82,2022-10-23,1,-2,2022/2023,3554.762789,111.9784471,58.25953428,38.53217726,68.78814311,13.52250995,2.218835455,0 days 00:38:25.288972200,31.6461,0 days 00:04:00,0 days 00:06:57,0 days 00:07:54,0 days 00:01:56,0 days 00:00:01
83,2022-10-24,2,-1,2022/2023,3038.770565,24.79786804,26.82599586,3.255730262,79.65341429,26.40773388,4.678942484,0 days 00:48:48.084774600,27.2963,0 days 00:02:50,0 days 00:13:08,0 days 00:18:29,0 days 00:06:59,0 days 00:00:16
84,2022-10-25,0,0,2022/2023,8088.84218,814.0971935,372.3596004,168.9859373,187.250673,70.22422164,24.98965486,0 days 00:43:18.568870800,31.39681333,0 days 00:01:20,0 days 00:02:19,0 days 00:22:49,0 days 00:22:52,0 days 00:00:46
85,2022-10-26,1,-3,2022/2023,5825.26028,221.8942435,146.2520967,42.84691966,119.566337,36.99316865,6.155665081,0 days 01:17:03.976698,30.1004,0 days 00:03:04,0 days 00:15:28,0 days 00:23:08,0 days 00:13:31,0 days 00:00:10
86,2022-10-27,2,-2,2022/2023,4023.03016,111.6673412,58.47762584,26.39113329,103.7410282,35.11721211,7.846113496,0 days 01:02:55.382421,29.5299,0 days 00:03:00,0 days 00:16:33,0 days 00:16:58,0 days 00:10:36,0 days 00:00:12
87,2022-10-28,3,-1,2022/2023,3433.051303,220.7103892,50.64566993,10.97020389,70.13780648,25.21831445,6.46218438,0 days 01:06:02.453109,28.4325,0 days 00:08:37,0 days 00:20:47,0 days 00:19:12,0 days 00:03:19,0 days 00:00:01
88,2022-10-29,0,0,2022/2023,5715.463619,96.60474662,21.17766058,45.66880858,78.44738276,26.72580253,5.345486603,0 days 01:09:07.153259400,32.4917,0 days 00:05:32,0 days 00:12:48,0 days 00:19:47,0 days 00:10:16,0 days 00:00:08
89,2022-10-30,1,-3,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
90,2022-10-31,2,-2,2022/2023,4721.401147,82.17289862,7.783663252,15.83840947,108.1242641,26.73629895,4.722287136,0 days 01:11:38.418575400,30.0663,0 days 00:05:27,0 days 00:20:18,0 days 00:25:16,0 days 00:10:25,0 days 00:00:09
91,2022-11-01,3,-1,2022/2023,2636.880762,56.59622986,59.15932271,34.30072356,59.83315572,17.53977781,4.093748573,0 days 00:46:23.963437200,31.68875,0 days 00:05:16,0 days 00:06:16,0 days 00:08:38,0 days 00:02:51,0 days 00:00:14
92,2022-11-02,0,0,2022/2023,2337.306867,98.23018785,74.57092391,21.82099394,48.56737381,17.14354868,12.07899949,0 days 00:17:14.810312400,29.52370667,0 days 00:01:32,0 days 00:01:38,0 days 00:02:56,0 days 00:02:37,0 days 00:00:02
93,2022-11-03,1,-3,2022/2023,5275.41234,343.8903378,137.4595926,34.90087391,96.75301617,23.86018883,3.358543086,0 days 01:04:07.615501800,29.62112,0 days 00:05:16,0 days 00:17:10,0 days 00:18:56,0 days 00:07:01,0 days 00:00:00
94,2022-11-04,2,-2,2022/2023,5775.497577,39.46720533,20.0782267,14.22529386,126.6300865,42.41571492,11.43080247,0 days 01:32:02.712745200,29.9482,0 days 00:14:27,0 days 00:28:00,0 days 00:17:13,0 days 00:09:11,0 days 00:00:13
95,2022-11-05,3,-1,2022/2023,3050.331044,92.43711992,38.9043059,37.35370825,74.9979733,23.44100703,6.321734473,0 days 01:04:08.419893600,32.7596,0 days 00:05:02,0 days 00:18:03,0 days 00:17:40,0 days 00:07:19,0 days 00:00:06
96,2022-11-06,0,0,2022/2023,8007.714695,654.723918,346.8158438,108.6668344,169.2431422,66.91892511,24.17900252,0 days 01:11:16.700450999,30.65331714,0 days 00:01:40,0 days 00:09:18,0 days 00:21:15,0 days 00:21:51,0 days 00:00:55
97,2022-11-07,1,-2,2022/2023,3717.647205,256.0277897,106.0535185,5.041589294,86.44247226,23.39054797,4.023764763,0 days 00:51:24.236877,27.3792,0 days 00:05:26,0 days 00:13:07,0 days 00:12:33,0 days 00:07:47,0 days 00:00:01
98,2022-11-08,2,-1,2022/2023,3762.445731,24.75445219,29.23685709,3.981157996,64.36819699,27.38916512,7.278274833,0 days 01:10:36.581387400,27.2766,0 days 00:09:22,0 days 00:24:39,0 days 00:16:18,0 days 00:04:47,0 days 00:00:02
99,2022-11-09,0,0,2022/2023,4284.040209,166.095707,122.608696,36.49998911,91.19620907,33.74718971,9.360676249,0 days 01:08:31.423108200,30.7691,0 days 00:06:22,0 days 00:17:39,0 days 00:14:35,0 days 00:09:46,0 days 00:00:01
100,2022-11-10,1,-2,2022/2023,3759.504512,120.4980225,81.51673025,6.748367071,64.07469057,17.1905884,4.757105056,0 days 00:45:20.126157600,27.6214,0 days 00:04:08,0 days 00:06:57,0 days 00:09:16,0 days 00:02:51,0 days 00:00:00
101,2022-11-11,2,-1,2022/2023,2131.922298,35.39679097,11.39775587,0.0,50.13466085,11.64798564,3.160042954,0 days 01:09:56.251917600,25.7256,0 days 00:07:44,0 days 00:18:52,0 days 00:10:52,0 days 00:02:18,0 days 00:00:06
102,2022-11-12,0,0,2022/2023,5263.518831,418.6346545,164.584881,40.90253502,110.9906175,34.49986328,17.97484997,0 days 00:36:17.389531800,30.30827333,0 days 00:01:03,0 days 00:00:32,0 days 00:10:40,0 days 00:06:32,0 days 00:00:13
103,2022-11-13,1,-10,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
104,2022-11-14,2,-10,2022/2023,4012.591543,196.5627939,61.9135204,19.8147321,83.68050269,24.89717973,5.054595761,0 days 01:13:15.133750200,28.7055,0 days 00:09:19,0 days 00:21:21,0 days 00:15:30,0 days 00:04:27,0 days 00:00:00
105,2022-11-15,3,-10,2022/2023,1464.543251,89.42102315,39.7948771,4.996168911,20.73194442,8.409418298,2.880822332,0 days 00:28:50.456411400,27.4476,0 days 00:03:04,0 days 00:03:58,0 days 00:02:34,0 days 00:01:03,0 days 00:00:01
106,2022-11-16,4,-10,2022/2023,5731.712273,292.6635887,142.5621058,54.57765067,103.7883707,28.12362726,9.405667157,0 days 01:34:54.541116600,30.959,0 days 00:14:27,0 days 00:24:17,0 days 00:20:39,0 days 00:09:25,0 days 00:00:04
